  firstName  |   lastName   | totalPaid 
-------------+--------------+-----------
 Karl        | Seal         |    221.55
 Eleanor     | Hunt         |    216.54
 Clara       | Shaw         |    195.58
 Rhonda      | Kennedy      |    194.61
 Marion      | Snyder       |    194.61
 Tommy       | Collazo      |    186.62
 Wesley      | Bull         |    177.60
 Tim         | Cary         |    175.61
 Marcia      | Dean         |    175.58
 Ana         | Bradley      |    174.66
 June        | Carroll      |    173.63
 Lena        | Jensen       |    170.67
 Diane       | Collins      |    169.65
 Arnold      | Havens       |    167.67
 Curtis      | Irby         |    167.62
 Mike        | Way          |    166.65
 Daisy       | Bates        |    162.62
 Tonya       | Chapman      |    161.68
 Louis       | Leone        |    161.65
 Gordon      | Allard       |    160.68
 Brittany    | Riley        |    159.72
 Guy         | Brownlee     |    159.68
 Warren      | Sherrod      |    159.67
 Margie      | Wade         |    159.64
 Mae         | Fletcher     |    158.69
 Steve       | Mackenzie    |    158.66
 Harry       | Arce         |    157.65
 Priscilla   | Lowe         |    157.65
 Arthur      | Simpkins     |    155.68
 Michelle    | Clark        |    155.65
 Tammy       | Sanders      |    155.59
 Sue         | Peters       |    154.60
 Sherry      | Marshall     |    153.66
 Neil        | Renner       |    152.68
 Shawn       | Heaton       |    152.67
 Jessica     | Hall         |    152.66
 Naomi       | Jennings     |    152.65
 Leslie      | Seward       |    152.65
 Brandon     | Huey         |    152.63
 Alex        | Gresham      |    151.67
 Maria       | Miller       |    151.67
 Stacey      | Montgomery   |    151.66
 Alma        | Austin       |    151.65
 Alexander   | Fennell      |    151.64
 Marsha      | Douglas      |    151.63
 Ralph       | Madrigal     |    150.66
 Billy       | Poulin       |    149.65
 Duane       | Tubbs        |    148.69
 Jacqueline  | Long         |    148.67
 Christopher | Greco        |    147.69
 Rosemary    | Schmidt      |    147.65
 Gladys      | Hamilton     |    146.69
 Zachary     | Hite         |    146.69
 Roger       | Quintanilla  |    146.64
 Wanda       | Patterson    |    145.70
 Nicholas    | Barfield     |    145.68
 Bernice     | Willis       |    145.67
 Troy        | Quigley      |    144.70
 Olga        | Jimenez      |    144.68
 Tanya       | Gilbert      |    144.67
 Janice      | Ward         |    144.66
 Elizabeth   | Brown        |    144.62
 Roy         | Whiting      |    143.71
 Jerry       | Jordon       |    143.71
 Sylvia      | Ortiz        |    143.68
 Violet      | Rodriquez    |    142.70
 Ryan        | Salisbury    |    142.70
 Minnie      | Romero       |    142.66
 Catherine   | Campbell     |    142.66
 Debra       | Nelson       |    141.71
 Greg        | Robins       |    141.70
