                 line1                  |       district       |            city            |                country                
----------------------------------------+----------------------+----------------------------+---------------------------------------
 47 MySakila Drive                      | Alberta              | Lethbridge                 | Canada
 28 MySQL Boulevard                     | QLD                  | Woodridge                  | Australia
 23 Workhaven Lane                      | Alberta              | Lethbridge                 | Canada
 1411 Lillydale Drive                   | QLD                  | Woodridge                  | Australia
 1913 Hanoi Way                         | Nagasaki             | Sasebo                     | Japan
 1121 Loja Avenue                       | California           | San Bernardino             | Murica
 692 Joliet Street                      | Attika               | Athenai                    | Greece
 1566 Inegl Manor                       | Mandalay             | Myingyan                   | Myanmar
 53 Idfu Parkway                        | Nantou               | Nantou                     | Taiwan
 1795 Santiago de Compostela Way        | Texas                | Laredo                     | Murica
 900 Santiago de Compostela Parkway     | Central Serbia       | Kragujevac                 | Yugoslavia
 478 Joliet Way                         | Hamilton             | Hamilton                   | New Zealand
 613 Korolev Drive                      | Masqat               | Masqat                     | Oman
 1531 Sal Drive                         | Esfahan              | Esfahan                    | Iran
 1542 Tarlac Parkway                    | Kanagawa             | Sagamihara                 | Japan
 808 Bhopal Manor                       | Haryana              | Yamuna Nagar               | India
 270 Amroha Parkway                     | Osmaniye             | Osmaniye                   | Turkey
 770 Bydgoszcz Avenue                   | California           | Citrus Heights             | Murica
 419 Iligan Lane                        | Madhya Pradesh       | Bhopal                     | India
 360 Toulouse Parkway                   | England              | Southend-on-Sea            | United Kingdom
 270 Toulon Boulevard                   | Kalmykia             | Elista                     | Russian Federation
 320 Brest Avenue                       | Kaduna               | Kaduna                     | Nigeria
 1417 Lancaster Avenue                  | Northern Cape        | Kimberley                  | South Africa
 1688 Okara Way                         | Nothwest Border Prov | Mardan                     | Pakistan
 262 A Corua (La Corua) Parkway         | Dhaka                | Tangail                    | Bangladesh
 28 Charlotte Amalie Street             | Rabat-Sal-Zammour-Z  | Sal                        | Morocco
 1780 Hino Boulevard                    | Liepaja              | Liepaja                    | Latvia
 96 Tafuna Way                          | Crdoba               | Crdoba                     | Argentina
 934 San Felipe de Puerto Plata Street  | Sind                 | Shikarpur                  | Pakistan
 18 Duisburg Boulevard                  |                      | Citt del Vaticano          | Holy See (Vatican City State)
 217 Botshabelo Place                   | Southern Mindanao    | Davao                      | Philippines
 1425 Shikarpur Manor                   | Bihar                | Munger (Monghyr)           | India
 786 Aurora Avenue                      | Yamaguchi            | Shimonoseki                | Japan
 1668 Anpolis Street                    | Taipei               | Lungtan                    | Taiwan
 33 Gorontalo Way                       | West Bengali         | Kamarhati                  | India
 176 Mandaluyong Place                  | Uttar Pradesh        | Jhansi                     | India
 127 Purnea (Purnia) Manor              | Piemonte             | Alessandria                | Italy
 61 Tama Street                         | Okayama              | Kurashiki                  | Japan
 391 Callao Drive                       | Midi-Pyrnes          | Toulouse                   | France
 334 Munger (Monghyr) Lane              | Markazi              | Arak                       | Iran
 1440 Fukuyama Loop                     | Henan                | Nanyang                    | China
 269 Cam Ranh Parkway                   | Chisinau             | Chisinau                   | Moldova
 306 Antofagasta Place                  | Esprito Santo        | Vila Velha                 | Brazil
 671 Graz Street                        | Oriental             | Nador                      | Morocco
 42 Brindisi Place                      | Yerevan              | Yerevan                    | Armenia
 1632 Bislig Avenue                     | Nonthaburi           | Pak Kret                   | Thailand
